ramo;o_que_e;TEMA_proposto;artigos;seus_descritores;CORRIGIR_tema;observacao
E01.370.350;Diagnóstico por IMAGEM;Imagem Cardiovascular;195;Echocardiography, Magnetic Resonance Imaging, Cine, Magnetic Resonance Imaging, Tomography, X-Ray Computed, Computed Tomography Angiography;apenas acrescentar ;Echocardiography, cardiac CT, cardiac MRI, PET/SPECT, strain, perfusion, exercise stress test, Holter monitoring, cardiopulmonary exercise test.
C14.280.647;Myocardial Ischemia;Coronária/DAC;99;Myocardial Infarction, Coronary Artery Disease, Shock, Cardiogenic, Acute Coronary Syndrome, ST Elevation Myocardial Infarction;;
C14.907.585;Myocardial Ischemia (vascular);Coronária/DAC;99;Myocardial Infarction, Coronary Artery Disease, Shock, Cardiogenic, Acute Coronary Syndrome, ST Elevation Myocardial Infarction, stroke, ;;
E01.370.370.380;Técnicas cardiovasculares diagnósticas;Imagem Cardiovascular;93;Stroke Volume, Echocardiography, Electrocardiography, Cardiac Catheterization, Exercise Test;;
C14.280.434;Heart Failure;Insuficiência Cardíaca;70;Heart Failure, Edema, Cardiac;;
C18;Nutricional/metabólico;Cardiometabólica;60;Obesity, Diabetes Mellitus, Type 2, Vascular Calcification, Hyperlipoproteinemia Type II, Diabetes Mellitus;;
E04.100;Procedimentos cirúrgicos CARDIOVASCULARES;Intervenção/Hemodinâmica;55;Heart Valve Prosthesis Implantation, Cardiac Surgical Procedures, Transcatheter Aortic Valve Replacement, Heart Transplantation, Angioplasty, Balloon, Coronary;;ifr, ffr, tavr 
C14;(cardiovascular, geral);Coronária/DAC;53;Cardiovascular Diseases, Arrhythmogenic Right Ventricular Dysplasia, Coronary Vessel Anomalies, Pregnancy Complications, Cardiovascular, Marfan Syndrome;;
C14.907.489;Hypertension;Hipertensão/HAS;40;Hypertension, Hypertension, Pulmonary, Hypertension, Pregnancy-Induced;;
C14.280.484;Heart Valve Diseases;Valvulopatias;39;Mitral Valve Insufficiency, Aortic Valve Stenosis, Heart Valve Diseases, Tricuspid Valve Insufficiency, ;RETIREI DOIS TERMOS ;Cardiomyopathy, Hypertrophic
C14.907.253;Cerebrovascular Disorders;Coronária/DAC;34;Stroke, Ischemic Stroke, Brain Ischemia, Giant Cell Arteritis, Hematoma, Subdural, Chronic;;
C14.907.137;Arterial Occlusive Diseases;Coronária/DAC;33;Coronary Artery Disease, Atherosclerosis, Fibromuscular Dysplasia;;
C14.907.355;Embolism and Thrombosis;Arritmias/Anticoagulantes;26;Pulmonary Embolism, Venous Thromboembolism, Thrombosis, Embolism, Venous Thrombosis;;
C14.280.238;Cardiomyopathies;Miocardiopatias;22;Cardiomyopathies, Cardiomyopathy, Hypertrophic, Cardiomyopathy, Dilated, Arrhythmogenic Right Ventricular Dysplasia, Chagas Cardiomyopathy;;
C19;Endócrino;Cardiometabólica;22;Diabetes Mellitus, Type 2, Diabetes Mellitus,Diabetes Mellitus, Type 1;CORRECAO ;RETIREI NEOPLASIA DE TIREOIDE E HIPERALDOSTERONISMO (HIPERALDO ESTA EM HAS E NEO TIREOIDE EM CARDIO ONCO)
C14.280.067;Arrhythmias, Cardiac;Arritmias/Anticoagulantes;20;Atrial Fibrillation, Arrhythmias, Cardiac, Ventricular Premature Complexes, Bundle-Branch Block, Tachycardia, Ventricular;;
C16;Congênito/hereditário/neonatal;Aorta/Congênitas/Genética;13;Cardiomyopathy, Dilated, Arrhythmogenic Right Ventricular Dysplasia, Hyperlipoproteinemia Type II, Amyloid Neuropathies, Familial, Coronary Vessel Anomalies;;
C14.280.383;Heart Arrest;UTI Cardiológica;12;Death, Sudden, Cardiac, Out-of-Hospital Cardiac Arrest, Heart Arrest;;
