doc_id;titulo;tipo_documento;nota;tema;tema_secundario;tema_origem;onde_se_aplica;natureza;quem_le;porque;CORRIGIR_tema;CORRIGIR_tema_secundario
eplerenone-a-selective-aldosterone-blocker-in-patients-with-left-ventricular-dys;Eplerenone, a Selective Aldosterone Blocker, in Patients with Left Ventricular Dysfunction after Myocardial Infarction;original;9;Insuficiência Cardíaca;Coronária/DAC;llm;;intervenção terapêutica;cardiologista clínico;"O estudo investiga uma intervenção terapêutica com eplerenona em pacientes pós-infarto com disfunção ventricular esquerda e insuficiência cardíaca ou diabetes, visando reduzir mortalidade e eventos cardiovasculares; o contexto de IAM estabelece uma conexão legítima com Coronária/DAC, mas o alvo tera";;
a-clinical-trial-of-the-angiotensin-convertingenzyme-inhibitor-trandolapril-in-p;A Clinical Trial of the Angiotensin-Converting–Enzyme Inhibitor Trandolapril in Patients with Left Ventricular Dysfunction after Myocardial Infarction;original;9;Insuficiência Cardíaca;Coronária/DAC;llm;;intervenção terapêutica;cardiologista clínico;Ensaio randomizado de trandolapril após IAM em pacientes com disfunção sistólica importante do ventrículo esquerdo, investigando uma intervenção terapêutica para reduzir mortalidade e progressão da insuficiência cardíaca. O contexto coronariano é essencial, mas o alvo principal do tratamento e da se;;
effect-of-captopril-on-mortality-and-morbidity-in-patients-with-left-ventricular;Effect of Captopril on Mortality and Morbidity in Patients with Left Ventricular Dysfunction after Myocardial Infarction: Results of the Survival and Ventricular Enlargement Trial;original;9;Insuficiência Cardíaca;Coronária/DAC;llm;;intervenção terapêutica;cardiologista clínico;"O artigo avalia o efeito terapêutico do captopril na prevenção de morte e eventos cardiovasculares em sobreviventes de IAM com disfunção ventricular esquerda assintomática; o foco imediato é a disfunção ventricular e a prevenção da progressão para insuficiência cardíaca, com contexto coronariano/IAM";;
10.1161/01.CIR.0000035653.72855.BF;Effect of Carvedilol on the Morbidity of Patients With Severe Chronic Heart Failure: Results of the Carvedilol Prospective Randomized Cumulative Survival (COPERNICUS) Study;original;9;Insuficiência Cardíaca;Não se aplica;llm;;intervenção terapêutica;cardiologista clínico;Ensaio clínico de carvedilol como intervenção terapêutica em pacientes ambulatoriais com insuficiência cardíaca crônica grave e fração de ejeção reduzida. O foco é o tratamento e a morbidade da IC, sem investigação independente de arritmia, hipertensão ou método diagnóstico.;;
10.1093/eurheartj/ehi118;Randomized trial to determine the effect of nebivolol on mortality and cardiovascular hospital admission in elderly patients with heart failure (SENIORS);original;9;Insuficiência Cardíaca;Não se aplica;llm;;intervenção terapêutica;cardiologista clínico;"O artigo é um ensaio clínico de tratamento farmacológico da insuficiência cardíaca crônica em idosos, avaliando o efeito do nebivolol sobre mortalidade e internação cardiovascular. O cenário principal é o acompanhamento ambulatorial, a natureza é terapêutica e o leitor é o cardiologista clínico; emb";;
10.1056/NEJMoa1009540;Cardiac-Resynchronization Therapy for Mild-to-Moderate Heart Failure;original;9;Insuficiência Cardíaca;Arritmias/Anticoagulantes;llm;;intervenção terapêutica;cardiologista clínico;O artigo investiga a terapia de ressincronização cardíaca adicionada ao CDI em adultos com insuficiência cardíaca sintomática e fração de ejeção reduzida, no contexto ambulatorial e de terapia otimizada. O tema principal é Insuficiência Cardíaca porque a população e o benefício clínico estudado são ;;
10.1056/NEJMoa1009492;Eplerenone in Patients with Systolic Heart Failure and Mild Symptoms;original;9;Insuficiência Cardíaca;Não se aplica;llm;;intervenção terapêutica;cardiologista clínico;"O artigo avalia uma intervenção farmacológica (eplerenona) em pacientes ambulatoriais com insuficiência cardíaca com fração de ejeção reduzida e sintomas leves; o leitor principal é o cardiologista clínico. O foco é diretamente o tratamento da ICFEr, sem um segundo tema cardiovascular legítimo.";;
valsartan-captopril-or-both-in-myocardial-infarction-complicated-by-heart-failur;Valsartan, Captopril, or Both in Myocardial Infarction Complicated by Heart Failure, Left Ventricular Dysfunction, or Both;original;9;Insuficiência Cardíaca;Coronária/DAC;llm;;intervenção terapêutica;cardiologista clínico;O RCT investiga a estratégia terapêutica com valsartana, captopril ou ambos em adultos após IAM complicado por insuficiência cardíaca e/ou disfunção sistólica ventricular esquerda. O cenário é pós-IAM, mas o foco decisório e o desfecho principal são o tratamento e a sobrevida na IC/disfunção ventric;;
10.1001/jama.2026.12038;Alcohol-Related Liver Disease: A Review;revisao_narrativa;9;Cardiometabólica;Miocardiopatias;llm;;intervenção terapêutica;médico do transplante;A revisão aborda o cuidado ambulatorial e longitudinal da doença hepática relacionada ao álcool, incluindo tratamento do transtorno por uso de álcool, rastreamento de fibrose e manejo até cirrose descompensada e transplante. Embora não seja um artigo cardiovascular primário, há leitor cardiológico p;;
the-effect-of-carvedilol-on-morbidity-and-mortality-in-patients-with-chronic-hea;The Effect of Carvedilol on Morbidity and Mortality in Patients with Chronic Heart Failure;original;9;Insuficiência Cardíaca;Não se aplica;llm;;intervenção terapêutica;cardiologista clínico;"Ensaio clínico de carvedilol como terapia modificadora de morbidade e mortalidade em pacientes ambulatoriais com insuficiência cardíaca crônica e fração de ejeção reduzida; o foco investigado é diretamente o tratamento da IC, sem segundo tema legítimo.";;
