doc_id;tema;tema_secundario;tema_origem
eplerenone-a-selective-aldosterone-blocker-in-patients-with-left-ventricular-dys;Insuficiência Cardíaca;Coronária/DAC;llm
a-clinical-trial-of-the-angiotensin-convertingenzyme-inhibitor-trandolapril-in-p;Insuficiência Cardíaca;Coronária/DAC;llm
effect-of-captopril-on-mortality-and-morbidity-in-patients-with-left-ventricular;Insuficiência Cardíaca;Coronária/DAC;llm
10.1161/01.CIR.0000035653.72855.BF;Insuficiência Cardíaca;Não se aplica;llm
10.1093/eurheartj/ehi118;Insuficiência Cardíaca;Não se aplica;llm
10.1056/NEJMoa1009540;Insuficiência Cardíaca;Arritmias/Anticoagulantes;llm
10.1056/NEJMoa1009492;Insuficiência Cardíaca;Não se aplica;llm
valsartan-captopril-or-both-in-myocardial-infarction-complicated-by-heart-failur;Insuficiência Cardíaca;Coronária/DAC;llm
10.1001/jama.2026.12038;Cardiometabólica;Miocardiopatias;llm
the-effect-of-carvedilol-on-morbidity-and-mortality-in-patients-with-chronic-hea;Insuficiência Cardíaca;Não se aplica;llm
effect-of-enalapril-on-survival-in-patients-with-reduced-left-ventricular-ejecti;Insuficiência Cardíaca;Não se aplica;llm
10.1056/NEJMoa1808848;Insuficiência Cardíaca;Arritmias/Anticoagulantes;llm
10.1001/;Insuficiência Cardíaca;Não se aplica;llm
effects-of-enalapril-on-mortality-in-severe-congestive-heart-failure-results-of;Insuficiência Cardíaca;Não se aplica;llm
10.1056/NEJMoa2022190;Insuficiência Cardíaca;Cardiometabólica;llm
10.1056/NEJMoa2025797;Insuficiência Cardíaca;Não se aplica;llm
10.1056/NEJMoa2107038;Insuficiência Cardíaca;Não se aplica;llm
10.1161/STR.0000000000000513;UTI Cardiológica;Aorta/Congênitas/Genética;llm
the-cardiac-insufficiency-bisoprolol-study-ii-cibis-ii-a-randomised-trial;Insuficiência Cardíaca;Não se aplica;llm
10.1161/CIR.0000000000001423;Cardiometabólica;Coronária/DAC;llm
10.1161/HYPERTENSIONAHA.125.25633;Hipertensão/HAS;Aorta/Congênitas/Genética;llm
10.1056/NEJMoa2206286;Insuficiência Cardíaca;Cardiometabólica;llm
10.1056/NEJMoa2410027;Insuficiência Cardíaca;Cardiometabólica;llm
10.1056/NEJMoa2407107;Insuficiência Cardíaca;Não se aplica;llm
10.1056/NEJMoa0805450;Insuficiência Cardíaca;Hipertensão/HAS;llm
prophylactic-use-of-an-implantable-cardioverterdefibrillator-after-acute-myocard;Arritmias/Anticoagulantes;Coronária/DAC;llm
prophylactic-use-of-implanted-cardiac-defibrillators-in-patients-at-high-risk-fo;Arritmias/Anticoagulantes;Coronária/DAC;llm
10.1056/NEJMra2506111;UTI Cardiológica;Não se aplica;llm
10.1161/CIRCRESAHA.126.328602;Coronária/DAC;Arritmias/Anticoagulantes;llm
10.1093/eurheartj/ehag334;Intervenção/Hemodinâmica;Coronária/DAC;llm
10.1161/HYPERTENSIONAHA.126.26095;Hipertensão/HAS;Cardiometabólica;llm
10.1056/NEJMra2415650;Insuficiência Cardíaca;Arritmias/Anticoagulantes;llm
10.1016/j.iac.2026.01.007;UTI Cardiológica;Não se aplica;llm
10.1161/CIRCULATIONAHA.125.077491;Aorta/Congênitas/Genética;Imagem Cardiovascular;llm
a-comparison-of-antiarrhythmic-drug-therapy-with-implantable-defibrillators-in-p;Arritmias/Anticoagulantes;Insuficiência Cardíaca;llm
10.1056/NEJMoa0906431;Insuficiência Cardíaca;Arritmias/Anticoagulantes;llm
10.1056/NEJMoa0908355;Insuficiência Cardíaca;Não se aplica;llm
10.1016/j.jacc.2025.12.079;Cardiometabólica;Coronária/DAC;llm
10.1016/j.jacc.2026.03.033;Miocardiopatias;Imagem Cardiovascular;llm
10.1161/CIRCOUTCOMES.125.013159;Coronária/DAC;Cardiometabólica;llm
10.1161/CIRCULATIONAHA.126.079459;Arritmias/Anticoagulantes;Imagem Cardiovascular;llm
10.1161/CIRCULATIONAHA.125.077666;Cardiometabólica;Hipertensão/HAS;llm
10.1161/CIRCOUTCOMES.125.013063;Coronária/DAC;Não se aplica;llm
10.1093/eurheartj/ehag584;Arritmias/Anticoagulantes;Não se aplica;llm
10.1016/j.jacep.2026.01.037;Arritmias/Anticoagulantes;Insuficiência Cardíaca;llm
10.1093/eurheartj/ehag113;Coronária/DAC;Intervenção/Hemodinâmica;llm
10.1093/eurheartj/ehag164;UTI Cardiológica;Coronária/DAC;llm
10.1056/NEJMoa1100356;Coronária/DAC;Insuficiência Cardíaca;llm
10.1056/NEJMoa1806640;Insuficiência Cardíaca;Valvulopatias;llm
10.1056/NEJMoa1900486;Insuficiência Cardíaca;UTI Cardiológica;llm
10.1016/j.jacadv.2026.102875;Arritmias/Anticoagulantes;Não se aplica;llm
10.1038/s41591-021-01659-1;Insuficiência Cardíaca;Cardiometabólica;llm
10.1056/NEJMoa2203094;Insuficiência Cardíaca;Não se aplica;llm
10.1093/eurjpc/zwag267;Coronária/DAC;Cardiometabólica;llm
10.1056/NEJMoa2415471;Insuficiência Cardíaca;Não se aplica;llm
prophylactic-implantation-of-a-defibrillator-in-patients-with-myocardial-infarct;Arritmias/Anticoagulantes;Insuficiência Cardíaca;llm
amiodarone-or-an-implantable-cardioverterdefibrillator-for-congestive-heart-fail;Insuficiência Cardíaca;Arritmias/Anticoagulantes;llm
the-effect-of-cardiac-resynchronization-on-morbidity-and-mortality-in-heart-fail;Insuficiência Cardíaca;Arritmias/Anticoagulantes;llm
prognostic-importance-of-defibrillator-shocks-in-patients-with-heart-failure;Arritmias/Anticoagulantes;Insuficiência Cardíaca;llm
effect-of-vasodilator-therapy-on-mortality-in-chronic-congestive-heart-failure-r;Insuficiência Cardíaca;Não se aplica;llm
10.1007/s10741-026-10609-3;Insuficiência Cardíaca;Valvulopatias;llm
10.1016/j.jacep.2026.01.011;Arritmias/Anticoagulantes;Não se aplica;llm
10.1016/j.jacc.2026.06.015;Insuficiência Cardíaca;Coronária/DAC;llm
10.1161/CIRCULATIONAHA.122.059038;Insuficiência Cardíaca;Cardiometabólica;llm
10.1056/NEJMoa1805374;Insuficiência Cardíaca;Valvulopatias;llm
the-effect-of-digoxin-on-mortality-and-morbidity-in-patients-with-heart-failure;Insuficiência Cardíaca;Não se aplica;llm
10.1016/j.jacc.2026.05.039;Cardiometabólica;Imagem Cardiovascular;llm
10.1056/NEJMoa1707855;Arritmias/Anticoagulantes;Insuficiência Cardíaca;llm
10.1056/NEJMoa1608029;Arritmias/Anticoagulantes;Insuficiência Cardíaca;llm
prophylactic-defibrillator-implantation-in-patients-with-nonischemic-dilated-car;Arritmias/Anticoagulantes;Miocardiopatias;llm
combination-of-isosorbide-dinitrate-and-hydralazine-in-blacks-with-heart-failure;Insuficiência Cardíaca;Não se aplica;llm
10.1056/NEJMoa1602001;Insuficiência Cardíaca;Coronária/DAC;llm
10.1016/j.jacc.2026.05.029;Imagem Cardiovascular;Coronária/DAC;llm
sudden-death-in-patients-with-myocardial-infarction-and-left-ventricular-dysfunc;Insuficiência Cardíaca;Coronária/DAC;llm
effects-of-losartan-and-captopril-on-mortality-and-morbidity-in-high-risk-patien;Coronária/DAC;Insuficiência Cardíaca;llm
prophylactic-catheter-ablation-for-the-prevention-of-defibrillator-therapy;Arritmias/Anticoagulantes;Coronária/DAC;llm
rhythm-control-versus-rate-control-for-atrial-fibrillation-and-heart-failure;Arritmias/Anticoagulantes;Insuficiência Cardíaca;llm
effects-of-candesartan-in-patients-with-chronic-heart-failure-and-preserved-left;Insuficiência Cardíaca;Não se aplica;llm
defibrillator-implantation-early-after-myocardial-infarction;Arritmias/Anticoagulantes;Coronária/DAC;llm
10.1161/JAHA.125.041495;Cardiometabólica;Não se aplica;llm
diuretic-strategies-in-patients-with-acute-decompensated-heart-failure;Insuficiência Cardíaca;Não se aplica;llm
10.1016/S0140-;Insuficiência Cardíaca;Hipertensão/HAS;llm
10.1056/NEJMoa1409077;Insuficiência Cardíaca;Hipertensão/HAS;llm
10.1161/CIR.0000000000001459;Insuficiência Cardíaca;Arritmias/Anticoagulantes;llm
effects-of-exercise-training-on-health-status-in-patients-with-chronic-heart-fai;Insuficiência Cardíaca;Não se aplica;llm
10.1056/NEJMoa1313731;Insuficiência Cardíaca;Não se aplica;llm
10.1002/clc.70423;Intervenção/Hemodinâmica;Coronária/DAC;llm
10.1056/NEJMoa1908655;Insuficiência Cardíaca;Não se aplica;llm
10.1056/NEJMoa1100171;Insuficiência Cardíaca;Não se aplica;llm
10.1056/NEJMoa0909938;Insuficiência Cardíaca;UTI Cardiológica;llm
10.1016/j.jacc.2026.06.013;Imagem Cardiovascular;Não se aplica;llm
10.1002/14651858.CD011319.pub3;Intervenção/Hemodinâmica;Coronária/DAC;llm
10.1016/j.jacc.2026.07.009;Insuficiência Cardíaca;Cardiometabólica;llm
10.1056/NEJMoa1105819;Coronária/DAC;Arritmias/Anticoagulantes;llm
10.1056/NEJMoa1709118;Coronária/DAC;Arritmias/Anticoagulantes;llm
10.1002/14651858.CD015988;Cardiometabólica;Aorta/Congênitas/Genética;llm
10.1002/14651858.CD016085.pub2;UTI Cardiológica;Hipertensão/HAS;llm
10.1093/eurheartj/ehaf661;Coronária/DAC;Cardiometabólica;llm
10.1056/NEJMoa1812851;Insuficiência Cardíaca;Não se aplica;llm
10.1056/NEJMoa2313917;Insuficiência Cardíaca;Cardiometabólica;llm
10.1002/clc.70402;Insuficiência Cardíaca;Coronária/DAC;llm
10.1016/j.jcmg.2026.05.015;Intervenção/Hemodinâmica;Coronária/DAC;llm
10.1016/j.jchf.2026.103242;Insuficiência Cardíaca;Imagem Cardiovascular;llm
10.1016/j.jchf.2026.103166;Insuficiência Cardíaca;Arritmias/Anticoagulantes;llm
10.1161/JAHA.125.046167;Cardiometabólica;Não se aplica;llm
10.1016/j.obpill.2026.100288;Cardiometabólica;Não se aplica;llm
10.1161/CIRCULATIONAHA.125.074482;Coronária/DAC;Cardiometabólica;llm
10.1056/NEJMoa2304542;Insuficiência Cardíaca;Arritmias/Anticoagulantes;llm
10.1056/NEJMoa2312572;UTI Cardiológica;Coronária/DAC;llm
10.1016/j.cardfail.2023.08.014;Insuficiência Cardíaca;Não se aplica;llm
10.1056/NEJMoa2304968;Insuficiência Cardíaca;Não se aplica;llm
10.1056/NEJMoa2206606;Insuficiência Cardíaca;Coronária/DAC;llm
cardiac-resynchronization-in-chronic-heart-failure;Insuficiência Cardíaca;Arritmias/Anticoagulantes;llm
chronic-heart-failure-in-adults-diagnosis-and-management-ng106;Insuficiência Cardíaca;Não se aplica;llm
10.1016/j.clnu.2026.106622;Insuficiência Cardíaca;UTI Cardiológica;llm
